А,1404
Б,1885
В,581
Г,1106
Д,861
Е,111
Ё,2
Ж,430
З,689
И,392
Й,6
К,2561
Л,786
М,1436
Н,540
О,868
П,1961
Р,644
С,1992
Т,1111
У,309
Ф,250
Х,322
Ц,249
Ч,757
Ш,316
Щ,162
Ъ,0
Ы,0
Ь,0
Э,249
Ю,153
Я,238
